"0",""
"0","# data looks good"
"0",""
"0","Box.test(ts_data3[[1]], "
"0","         lag=log(length(ts_data3[[1]])))"
"1","
"
"1","	Box-Pierce test"
"1","
"
"1","
"
"1","data:  "
"1",""
"1","ts_data3[[1]]"
"1",""
"1","
"
"1","X-squared = 31.096, df = 4.6052, p-value = 5.857e-06"
"1","
"
"1","
"
"0","#pvalue is low, meaning we can reject the null hypothesis and go for the test (some autocorrelations are significant)"
"0",""
"0",""
"0","acf2(ts_data3[[1]])"
"1","    "
"1"," [,1]"
"1","  [,2]"
"1"," [,3]"
"1"," [,4]"
"1","  [,5]"
"1","  [,6]"
"1"," [,7]"
"1","  [,8]"
"1"," [,9]"
"1"," [,10]"
"1"," [,11]"
"1","
ACF "
"1","  0.5"
"1","  0.08"
"1"," 0.07"
"1"," 0.22"
"1","  0.18"
"1","  0.03"
"1"," 0.04"
"1","  0.05"
"1"," 0.03"
"1","  0.07"
"1","  0.11"
"1","
PACF"
"1","  0.5"
"1"," -0.23"
"1"," 0.19"
"1"," 0.16"
"1"," -0.04"
"1"," -0.03"
"1"," 0.09"
"1"," -0.08"
"1"," 0.02"
"1","  0.10"
"1","  0.01"
"1","
"
"1","    "
"1"," [,12]"
"1"," [,13]"
"1"," [,14]"
"1"," [,15]"
"1"," [,16]"
"1"," [,17]"
"1"," [,18]"
"1"," [,19]"
"1"," [,20]"
"1","
ACF "
"1","  0.09"
"1","  0.12"
"1","  0.14"
"1","  0.01"
"1"," -0.06"
"1","  0.02"
"1","  0.16"
"1","  0.10"
"1"," -0.11"
"1","
PACF"
"1","  0.03"
"1","  0.12"
"1","  0.01"
"1"," -0.17"
"1","  0.05"
"1","  0.01"
"1","  0.11"
"1"," -0.03"
"1"," -0.14"
"1","
"
